username,realname,rel1,rel2,rel3,rel4,relr1,relr2,relr3,relr4
101,stu101,102,105,116,111,118,104,109,119
102,stu102,101,103,104,126,111,116,109,104
103,stu103,116,112,105,115,109,123,109,116
104,stu104,107,113,108,,123,123,123,
105,stu105,101,108,131,126,108,107,123,105
106,stu106,116,,,,108,,,
107,stu107,113,126,136,137,124,101,123,109
108,stu108,105,109,114,119,103,122,109,111
109,stu109,105,108,,,109,104,,
110,stu110,105,108,109,112,123,104,119,121
111,stu111,102,101,116,117,118,111,109,122
112,stu112,114,103,119,108,109,110,111,118
113,stu113,107,101,,,112,110,,
114,stu114,112,119,108,,109,108,111,
115,stu115,130,104,112,129,123,112,102,107
116,stu116,103,106,118,117,108,109,116,102
117,stu117,103,106,116,112,104,123,122,112
118,stu118,111,116,117,112,116,109,123,108
119,stu119,114,108,102,,111,109,116,
120,stu120,122,124,130,131,101,113,109,115
122,stu122,134,120,125,138,123,104,108,115
123,stu123,138,125,135,128,123,111,109,112
124,stu124,133,,,,109,,,
125,stu125,123,138,122,126,123,123,113,108
126,stu126,122,128,120,131,101,105,109,115
127,stu127,136,140,135,125,110,122,123,111
128,stu128,122,125,135,133,113,110,122,123
129,stu129,118,133,,,116,113,,
130,stu130,120,,,,111,,,
131,stu131,130,134,120,133,124,108,124,111
132,stu132,131,120,130,,115,112,108,
133,stu133,124,129,,,113,112,,
134,stu134,106,131,128,122,118,113,112,105
135,stu135,125,123,138,140,123,123,123,123
136,stu136,140,135,133,127,115,111,107,106
137,stu137,103,125,140,126,115,113,110,101
138,stu138,125,123,135,134,105,123,111,123
139,stu139,125,138,136,128,123,123,109,119
140,stu140,136,130,135,120,116,109,113,104
